10;Flagi;Gmina;Nazwa;X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X16(00:00-29:59);X17(00:00-29:59);X18(00:00-29:59);X20(00:00-29:59);X21(00:00-29:59);X22(00:00-29:59)
1;P(2169),1,I;ZTM;W³adys³awa IV;0;;;0;;;;;0;
2;B,P(208);ZTM;Nowy Port (Góreckiego);1;;0;1;0;0;0;0;1;0
3;P(2166);ZTM;Wyzwolenia - Marynarki Polskiej;2;;2;2;2;2;1;2;2;2
4;P(2164);ZTM;Œnie¿na;1;;1;1;1;1;1;1;1;1
5;P(2162);ZTM;PGE ARENA Gdañsk;2;;2;2;2;2;2;2;2;2
6;P(2160);ZTM;Mostostal;1;;1;1;1;1;1;1;1;1
7;P(2158);ZTM;¯aglowa - AmberExpo;1;;1;1;1;1;1;1;1;1
8;P(2156);ZTM;Swojska;2;;2;2;2;2;2;2;2;2
9;P(2154);ZTM;Wêze³ Kliniczna;1;;1;1;1;1;1;1;1;1
10;P(2068);ZTM;Twarda;1;;1;1;1;;;;1;1
11;P(2066);ZTM;Stocznia Pó³nocna;1;;1;1;1;;;;1;1
12;P(2064);ZTM;Stocznia SKM;2;;2;2;2;;;;2;2
13;P(2062);ZTM;Plac Solidarnoœci;1;;1;2;2;;;;1;1
14;P(213),1,I,H;ZTM;Strzy¿a PKM;;0;;;;;;;;
15;P(2030),1,I,H;ZTM;Zajezdnia;;1;;;;;;;;
16;P(2028),1,I,H;ZTM;Zamenhofa;;1;;;;;;;;
17;P(2026),1,I,H;ZTM;Wojska Polskiego;;1;;;;;;;;
18;P(2024),1,I,H;ZTM;Galeria Ba³tycka;;2;;;;;;;;
19;P(2022),1,I,H;ZTM;Klonowa;;1;;;;;;;;
20;P(2020),1,I,H;ZTM;Jaœkowa Dolina;;2;;;;;;;;
21;P(2018),1,I,H;ZTM;Miszewskiego;;2;;;;;;;;
22;P(2016),1,I,H;ZTM;Politechnika;;1;;;;;;;;
23;P(2014),1,I,H;ZTM;Opera Ba³tycka;;2;;;;;;;;
24;P(2012),1,I,H;ZTM;Traugutta;;2;;;;;;;;
25;P(2010),1,I,H;ZTM;Uniwersytet Medyczny;;1;;;;;;;;
26;P(2008),1,I,H;ZTM;Chodowieckiego;;1;;;;;;;;
27;P(2006),1,I,H;ZTM;Brama Oliwska;;1;;;;;;;;
28;P(2002);ZTM;Dworzec G³ówny;2;2;2;2;2;;;;2;2
29;P(2137);ZTM;Hucisko;3;3;3;3;3;;;;3;3
30;P(2139);ZTM;Powstañców Warszawskich;2;2;2;2;2;;;;2;2
31;P(2141);ZTM;Paska;1;1;1;1;1;;;;1;1
32;P(2143);ZTM;Ciasna;1;1;1;1;1;;;;1;1
33;P(2145);ZTM;Zakopiañska;1;1;1;1;1;;;;1;1
34;P(2147);ZTM;Skrajna;2;2;2;2;2;;;;2;2
35;P(2149);ZTM;Siedlce;2;2;2;2;2;;;;2;2
36;P(2273);ZTM;Piekarnicza;3;3;3;4;4;;;;2;2
37;P(2271);ZTM;Belgradzka;1;1;1;1;1;;;;3;3
38;P(2269);ZTM;Warneñska;2;2;2;2;2;;;;1;1
39;P(2267);ZTM;Kolumba;2;2;2;2;2;;;;2;2
40;B,N,K0,P(224);ZTM;Brêtowo PKM;2;2;2;2;2;;;;2;2
41;P(2069),1,I,H;ZTM;Kliniczna - Szpital;;;;;;1;1;1;;
42;P(2017),1,I,H;ZTM;Politechnika;;;;;;2;2;3;;
43;P(2019),1,I,H;ZTM;Miszewskiego;;;;;;1;1;1;;
44;P(2021),1,I,H;ZTM;Jaœkowa Dolina;;;;;;2;1;2;;
45;P(2023),1,I,H;ZTM;Klonowa;;;;;;1;1;1;;
46;P(2025),1,I,H;ZTM;Galeria Ba³tycka;;;;;;2;2;2;;
47;P(2027),1,I,H;ZTM;Wojska Polskiego;;;;;;2;2;2;;
48;P(2029),1,I,H;ZTM;Zamenhofa;;;;;;1;1;1;;
49;P(2031),1,I,H;ZTM;Zajezdnia;;;;;;1;1;1;;
50;B,N,K,P(213),1,I,H;ZTM;Strzy¿a PKM;;;;;;1;1;1;;
