99;Dni powszednie;#EEEEEE
04:49;X0;;
05:09;X0;;
04:36;X1;;
04:56;X1;;
05:16;X1;;
05:36;X1;;
05:46;X2;;
06:33;X0;;
05:56;X2;;
06:06;X2;;
06:16;X2;;
06:26;X2;;
06:36;X2;;
06:46;X2;;
06:56;X2;;
07:06;X2;;
07:16;X2;;
07:26;X2;;
07:36;X3;;
07:46;X2;;
07:56;X3;;
08:09;X2;;
08:19;X3;;
08:29;X2;;
08:39;X3;;
08:49;X2;;
08:59;X3;;
09:09;X2;;
09:19;X3;;
09:39;X3;;
09:49;X2;;
09:59;X3;;
10:09;X2;;
10:19;X3;;
10:29;X2;;
10:39;X3;;
10:49;X2;;
10:59;X3;;
11:09;X2;;
11:19;X3;;
11:29;X2;;
11:39;X2;;
11:49;X2;;
11:59;X2;;
12:09;X2;;
12:19;X2;;
12:29;X2;;
12:39;X2;;
12:49;X2;;
12:59;X2;;
13:09;X2;;
13:19;X2;;
13:29;X2;;
13:36;X2;;
13:46;X2;;
13:56;X2;;
14:06;X2;;
14:16;X2;;
14:26;X2;;
14:36;X2;;
14:46;X2;;
14:56;X2;;
15:06;X2;;
15:16;X2;;
15:26;X2;;
15:36;X2;;
15:46;X2;;
15:56;X2;;
16:06;X2;;
16:16;X3;;
16:26;X2;;
16:36;X3;;
16:46;X2;;
16:58;X3;;
17:44;X0;;
17:09;X2;;
17:20;X3;;
17:30;X2;;
17:40;X3;;
17:50;X2;;
18:00;X3;;
18:10;X2;;
18:21;X3;;
18:30;X2;;
18:40;X3;;
18:50;X2;;
19:00;X3;;
19:10;X2;;
19:22;X4;;
19:30;X1;;
19:42;X4;;
19:49;X1;;
20:02;X4;;
20:10;X1;;
20:22;X4;;
20:40;X5;;
21:00;X6;;
21:10;X5;;
21:40;X5;;
22:10;X5;;
22:40;X6;;
23:10;X7;;
23:30;X7;;
99;Soboty;#E6E6FA
04:31;X13;;
05:01;X13;;
04:40;X5;;
05:10;X5;;
05:40;X5;;
06:10;X5;;
07:08;X0;;
06:37;X1;;
06:55;X1;;
07:07;X4;;
07:15;X1;;
07:27;X4;;
07:35;X1;;
07:47;X4;;
07:55;X1;;
08:07;X4;;
08:15;X1;;
08:27;X4;;
08:35;X1;;
08:46;X4;;
08:55;X1;;
09:07;X4;;
09:18;X1;;
09:27;X4;;
09:38;X1;;
09:47;X4;;
09:58;X1;;
10:07;X4;;
10:15;X1;;
10:27;X4;;
10:35;X1;;
10:47;X4;;
10:55;X1;;
11:07;X4;;
11:15;X1;;
11:27;X4;;
11:35;X1;;
11:47;X4;;
11:55;X1;;
12:07;X4;;
12:15;X1;;
12:27;X4;;
12:35;X1;;
12:47;X4;;
12:55;X1;;
13:07;X4;;
13:15;X1;;
13:27;X4;;
13:35;X1;;
13:47;X4;;
13:55;X1;;
14:07;X4;;
14:15;X1;;
14:27;X4;;
14:35;X1;;
14:47;X4;;
14:55;X1;;
15:06;X4;;
15:15;X1;;
15:27;X4;;
15:35;X1;;
15:47;X4;;
15:55;X1;;
16:07;X4;;
16:15;X1;;
16:27;X4;;
16:35;X1;;
16:55;X1;;
17:02;X4;;
17:17;X1;;
17:37;X1;;
17:42;X4;;
17:57;X1;;
18:02;X4;;
18:15;X1;;
18:35;X1;;
18:55;X1;;
19:15;X1;;
19:35;X1;;
19:55;X1;;
20:15;X1;;
20:35;X5;;
20:55;X6;;
21:10;X5;;
21:40;X5;;
22:10;X5;;
22:40;X6;;
23:10;X7;;
23:30;X7;;
99;Niedziele i œwiêta;#FFE4E1
04:30;X13;;
05:00;X13;;
04:40;X5;;
05:10;X5;;
05:40;X5;;
06:10;X5;;
06:40;X5;;
07:10;X5;;
07:40;X5;;
08:10;X5;;
08:40;X5;;
09:30;X13;;
09:10;X5;;
09:34;X1;;
09:54;X1;;
10:14;X1;;
10:34;X1;;
10:54;X1;;
11:14;X1;;
11:34;X1;;
11:54;X1;;
12:14;X1;;
12:34;X1;;
12:54;X1;;
13:14;X1;;
13:34;X1;;
13:54;X1;;
14:14;X1;;
14:34;X1;;
14:54;X1;;
15:14;X1;;
15:34;X1;;
15:54;X1;;
16:14;X1;;
16:34;X1;;
16:54;X1;;
17:14;X1;;
17:34;X1;;
17:54;X1;;
18:14;X1;;
18:34;X1;;
18:54;X1;;
19:14;X1;;
19:34;X1;;
19:54;X1;;
20:14;X1;;
20:34;X5;;
20:54;X6;;
21:10;X5;;
21:40;X5;;
22:10;X5;;
22:40;X6;;
23:10;X7;;
23:30;X7;;
